Date,Positivity_Rate
11/19/2022,130.1308258
11/2/2020,29.00960298
11/2/2021,15.38614255
11/2/2022,130.3357516
11/20/2020,26.20347498
11/20/2021,17.64217931
11/20/2022,152.3223371
11/21/2020,27.4838765
11/21/2021,18.3395416
11/21/2022,201.8340416
11/22/2020,27.84711893
11/22/2021,28.6262275
11/22/2022,155.911463
11/23/2020,34.70417123
11/23/2021,27.62979002
11/23/2022,87.16804979
11/24/2020,47.74701512
11/24/2021,17.96823076
11/24/2022,100.0724288
11/25/2020,35.42244151
11/25/2021,16.36213604
11/25/2022,103.0103247
11/26/2020,27.05355641
11/26/2021,17.12928822
11/26/2022,121.2380251
11/27/2020,22.83887865
11/27/2021,19.33278209
11/27/2022,137.3659517
11/28/2020,24.57611734
11/28/2021,21.837532
11/28/2022,156.9902913
11/29/2020,25.53605515
11/29/2021,26.19926199
11/29/2022,136.2724758
11/3/2020,32.81379801
11/3/2021,9.386949924
11/3/2022,157.4119574
11/30/2020,36.0275085
11/30/2021,32.31514248
11/30/2022,84.34556674
11/4/2020,29.12801484
11/4/2021,9.925612375
11/4/2022,166.6812466
11/5/2020,23.37640544
11/5/2021,11.24656309
11/5/2022,167.2902369
11/6/2020,20.34990792
11/6/2021,11.7200199
11/6/2022,216.3476991
11/7/2020,22.12945232
11/7/2021,13.99837914
11/7/2022,270.8914945
11/8/2020,24.23024723
11/8/2021,17.58050479
11/8/2022,202.8571429
11/9/2020,33.49882046
11/9/2021,20.76621231
11/9/2022,140.3760258
12/1/2020,41.92840647
12/1/2021,19.08720733
12/1/2022,91.50855001
12/10/2020,26.26316556
12/10/2021,23.01644926
12/10/2022,76.96117805
12/11/2020,25.82512569
12/11/2021,23.71519962
12/11/2022,108.065607
12/12/2020,24.85596077
12/12/2021,28.07651324
12/12/2022,146.5974136
12/13/2020,27.84670906
12/13/2021,30.10096267
12/13/2022,125.6512361
12/14/2020,29.05186457
12/14/2021,36.0239521
12/14/2022,43.95629672
12/15/2020,43.04453319
12/15/2021,28.31909851
12/15/2022,52.45511573
12/16/2020,34.73134237
12/16/2021,25.70170309
12/16/2022,67.81555111
12/17/2020,30.0525972
12/17/2021,30.58331397
12/17/2022,89.51434879
12/18/2020,25.99712804
12/18/2021,32.86709431
12/18/2022,119.5470212
12/19/2020,27.09092803
12/19/2021,40.75580145
12/19/2022,150.6268997
12/2/2020,32.84493284
12/2/2021,18.01455301
12/2/2022,59.85078402
12/20/2020,26.74897712
12/20/2021,53.46644607
12/20/2022,141.0550089
12/21/2020,34.89404642
12/21/2021,52.1497413
12/21/2022,62.46792369
12/22/2020,42.63779962
12/22/2021,51.07888987
12/22/2022,83.53263577
12/23/2020,34.2816802
12/23/2021,47.53119913
12/23/2022,112.1991085
12/24/2020,30.66788457
12/24/2021,55.03930396
12/24/2022,191.2015137
12/25/2020,32.03123729
12/25/2021,72.96996496
12/25/2022,246.7943139
12/26/2020,40.15067359
12/26/2021,99.72660728
12/26/2022,232.2038282
12/27/2020,47.53368595
12/27/2021,132.1273129
12/27/2022,181.8798267
12/28/2020,49.56906357
12/28/2021,132.0384161
12/28/2022,67.7152006
12/29/2020,58.31085835
12/29/2021,129.9245684
12/29/2022,69.55445545
12/3/2020,27.9821459
12/3/2021,18.1568884
12/3/2022,81.22467357
12/30/2020,52.43050242
12/30/2021,128.9044739
12/30/2022,71.25414889
12/31/2020,33.85167089
12/31/2021,131.5994833
12/31/2022,79.87697715
12/4/2020,26.77987893
12/4/2021,20.78967685
12/4/2022,96.09991942
12/5/2020,25.60985875
12/5/2021,25.57113597
12/5/2022,143.1011236
12/6/2020,26.23921959
12/6/2021,32.48142874
12/6/2022,106.7518248
12/7/2020,35.40843142
12/7/2021,32.44184267
12/7/2022,37.93103448
12/8/2020,41.20363284
12/8/2021,21.68978235
