Date,Total_CompletedTests
12/23/2020,56660
12/23/2021,68191
12/23/2022,6730
12/24/2020,64592
12/24/2021,72639
12/24/2022,4228
12/25/2020,61465
12/25/2021,66489
12/25/2022,3447
12/26/2020,49511
12/26/2021,56695
12/26/2022,3866
12/27/2020,41783
12/27/2021,48479
12/27/2022,5309
12/28/2020,39565
12/28/2021,53311
12/28/2022,5309
12/29/2020,34112
12/29/2021,59259
12/29/2022,6868
12/3/2020,52873
12/3/2021,39748
12/3/2022,6663
12/30/2020,39210
12/30/2021,67301
12/30/2022,8436
12/31/2020,63858
12/31/2021,75093
12/31/2022,9104
12/4/2020,56001
12/4/2021,36268
12/4/2022,6205
12/5/2020,59399
12/5/2021,31735
12/5/2022,4450
12/6/2020,59251
12/6/2021,25981
12/6/2022,6576
12/7/2020,45283
12/7/2021,26136
12/7/2022,8874
12/8/2020,39198
12/8/2021,38502
12/8/2022,8068
12/9/2020,48546
12/9/2021,40242
12/9/2022,7459
2/1/2021,30359
2/1/2022,16380
2/1/2023,7621
2/10/2020,
2/10/2021,52504
2/10/2022,22417
2/10/2023,6657
2/11/2020,
2/11/2021,68812
2/11/2022,20936
2/11/2023,5792
2/12/2020,
2/12/2021,62012
2/12/2022,18985
2/12/2023,4489
2/13/2020,
2/13/2021,58760
2/13/2022,13998
2/13/2023,3810
2/14/2020,
2/14/2021,48701
2/14/2022,9962
2/14/2023,4810
2/15/2020,
2/15/2021,30355
2/15/2022,12961
2/15/2023,7072
2/16/2020,
2/16/2021,27005
2/16/2022,19839
2/16/2023,6748
2/17/2020,
2/17/2021,33977
2/17/2022,18462
2/17/2023,6668
2/18/2020,
2/18/2021,56165
2/18/2022,17758
2/18/2023,6148
2/19/2020,
2/19/2021,65372
2/19/2022,14174
2/19/2023,4871
2/2/2021,28552
2/2/2022,27720
2/2/2023,6690
2/20/2020,
2/20/2021,57194
2/20/2022,16752
2/20/2023,3552
2/21/2020,
2/21/2021,48178
2/21/2022,8924
2/21/2023,3630
2/22/2020,
2/22/2021,31163
2/22/2022,15365
2/22/2023,5370
2/23/2020,
2/23/2021,25979
2/23/2022,15692
2/23/2023,7465
2/24/2020,
2/24/2021,54852
2/24/2022,21449
2/24/2023,6951
2/25/2020,
2/25/2021,66351
2/25/2022,21550
2/25/2023,5574
2/26/2020,
2/26/2021,64049
2/26/2022,16052
2/26/2023,4423
2/27/2020,
2/27/2021,59416
2/27/2022,15434
2/27/2023,3658
2/28/2020,
2/28/2021,49185
2/28/2022,12116
2/28/2023,5113
2/29/2020,
2/3/2021,52418
2/3/2022,28493
2/3/2023,6483
2/4/2021,64467
2/4/2022,25118
2/4/2023,5747
2/5/2021,62710
2/5/2022,22527
2/5/2023,4773
2/6/2020,
2/6/2021,62341
2/6/2022,17502
2/6/2023,4053
2/7/2020,
2/7/2021,51658
2/7/2022,12880
2/7/2023,5331
2/8/2020,
2/8/2021,28303
2/8/2022,15788
2/8/2023,6848
2/9/2020,
2/9/2021,30798
2/9/2022,22906
2/9/2023,7020
3/1/2020,
3/1/2021,35015
3/1/2022,13087
3/1/2023,6163
3/10/2020,
3/10/2021,54149
3/10/2022,14695
3/10/2023,5624
3/11/2020,
3/11/2021,60619
3/11/2022,14571
3/11/2023,5467
3/12/2020,
3/12/2021,64611
3/12/2022,13005
3/12/2023,4004
3/13/2020,
3/13/2021,58431
3/13/2022,11874
3/13/2023,3331
3/14/2020,
3/14/2021,47618
3/14/2022,7565
3/14/2023,4277
3/15/2020,
3/15/2021,33975
3/15/2022,9698
3/15/2023,6098
3/16/2020,
3/16/2021,28526
3/16/2022,15702
3/16/2023,6161
3/17/2020,
3/17/2021,49128
3/17/2022,14648
3/17/2023,6247
3/18/2020,
3/18/2021,58560
3/18/2022,14198
3/18/2023,5004
3/19/2020,
3/19/2021,56134
3/19/2022,12180
3/19/2023,4374
3/2/2020,
3/2/2021,30767
3/2/2022,18094
3/2/2023,6717
3/20/2020,
3/20/2021,52083
3/20/2022,10967
3/20/2023,3170
3/21/2020,
3/21/2021,49233
3/21/2022,8644
3/21/2023,4581
3/22/2020,
3/22/2021,31089
3/22/2022,10433
3/22/2023,5317
3/23/2020,
3/23/2021,32556
3/23/2022,18267
3/23/2023,6499
3/24/2020,
3/24/2021,51962
3/24/2022,15515
3/24/2023,5517
3/25/2020,
3/25/2021,60077
3/25/2022,17654
3/25/2023,4848
3/26/2020,
3/26/2021,53436
3/26/2022,17341
3/26/2023,4151
3/27/2020,
3/27/2021,61005
3/27/2022,16066
3/27/2023,3577
3/28/2020,
3/28/2021,50227
3/28/2022,6243
3/28/2023,4431
3/29/2020,
3/29/2021,39470
3/29/2022,12302
3/29/2023,5967
3/3/2020,
3/3/2021,52613
3/3/2022,16606
3/3/2023,6475
3/30/2020,
3/30/2021,36071
3/30/2022,17309
3/30/2023,5664
3/31/2020,
3/31/2021,52532
3/31/2022,18318
3/31/2023,4601
3/4/2020,
3/4/2021,65643
3/4/2022,15925
3/4/2023,6241
3/5/2020,
3/5/2021,64748
3/5/2022,14264
3/5/2023,4198
3/6/2020,
3/6/2021,57829
3/6/2022,12119
3/6/2023,3657
3/7/2020,
3/7/2021,46586
3/7/2022,9447
3/7/2023,4871
3/8/2020,
3/8/2021,38063
3/8/2022,11128
3/8/2023,6709
3/9/2020,
3/9/2021,33264
3/9/2022,17571
3/9/2023,6302
4/1/2020,
4/1/2021,62290
4/1/2022,17468
4/1/2023,5432
4/10/2020,
4/10/2021,61439
4/10/2022,16816
4/11/2020,
4/11/2021,56378
4/11/2022,12149
4/12/2020,
4/12/2021,47929
4/12/2022,14183
4/13/2020,
4/13/2021,42167
4/13/2022,23618
4/14/2020,
4/14/2021,54211
4/14/2022,23046
4/15/2020,6010
4/15/2021,65559
4/15/2022,20538
4/16/2020,9001
4/16/2021,64304
4/16/2022,19282
4/17/2020,8899
4/17/2021,56852
4/17/2022,10451
4/18/2020,9462
4/18/2021,53776
4/18/2022,10060
4/19/2020,9643
4/19/2021,42873
4/19/2022,15322
4/2/2020,
4/2/2021,62333
4/2/2022,16001
4/2/2023,3460
4/20/2020,8743
4/20/2021,40596
4/20/2022,21988
4/21/2020,9330
4/21/2021,51877
4/21/2022,20840
4/22/2020,10361
4/22/2021,54246
4/22/2022,20828
4/23/2020,10214
4/23/2021,56206
4/23/2022,20004
4/24/2020,12295
4/24/2021,52160
4/24/2022,16139
4/25/2020,10578
4/25/2021,46694
4/25/2022,13247
4/26/2020,12020
4/26/2021,33822
4/26/2022,13451
4/27/2020,12550
4/27/2021,34000
4/27/2022,23230
4/28/2020,10852
4/28/2021,50194
4/28/2022,18875
4/29/2020,11554
4/29/2021,56939
4/29/2022,19235
4/3/2020,
4/3/2021,59117
4/3/2022,14095
4/3/2023,2872
4/30/2020,12928
4/30/2021,53074
4/30/2022,16841
4/4/2020,
4/4/2021,46380
4/4/2022,11195
4/4/2023,3567
4/5/2020,
4/5/2021,36563
4/5/2022,14474
4/6/2020,
4/6/2021,37541
4/6/2022,21553
4/7/2020,
4/7/2021,49889
4/7/2022,21347
4/8/2020,
4/8/2021,63846
4/8/2022,17565
4/9/2020,
4/9/2021,61410
4/9/2022,18678
5/1/2020,16532
5/1/2021,46803
5/1/2022,13492
5/10/2020,17618
5/10/2021,27175
5/10/2022,11576
5/11/2020,13970
5/11/2021,28109
5/11/2022,20465
5/12/2020,11957
5/12/2021,45681
5/12/2022,16360
5/13/2020,15137
5/13/2021,47638
5/13/2022,16020
5/14/2020,17429
5/14/2021,44040
5/14/2022,15102
5/15/2020,18354
5/15/2021,42320
5/15/2022,12250
5/16/2020,17768
5/16/2021,33142
5/16/2022,8132
5/17/2020,16217
5/17/2021,24498
5/17/2022,12233
5/18/2020,9155
5/18/2021,22915
5/18/2022,15599
5/19/2020,5813
5/19/2021,38422
5/19/2022,15462
5/2/2020,16305
5/2/2021,45301
5/2/2022,11849
5/20/2020,7382
5/20/2021,45406
5/20/2022,14413
5/21/2020,10506
5/21/2021,37126
5/21/2022,12077
5/22/2020,11276
5/22/2021,34576
5/22/2022,9777
5/23/2020,11028
5/23/2021,31227
5/23/2022,6053
5/24/2020,11383
5/24/2021,20151
5/24/2022,6534
5/25/2020,8170
5/25/2021,16857
5/25/2022,11109
5/26/2020,9875
5/26/2021,24008
5/26/2022,13542
5/27/2020,15133
5/27/2021,37705
5/27/2022,13316
5/28/2020,17615
5/28/2021,40866
5/28/2022,11297
5/29/2020,18525
5/29/2021,33559
5/29/2022,8213
5/3/2020,17146
5/3/2021,33179
5/3/2022,11755
5/30/2020,20640
5/30/2021,26565
5/30/2022,6368
5/31/2020,17014
5/31/2021,18226
5/31/2022,9535
5/4/2020,14555
5/4/2021,33740
5/4/2022,18320
5/5/2020,10654
5/5/2021,45767
5/5/2022,17927
5/6/2020,12961
5/6/2021,54118
5/6/2022,17744
5/7/2020,15179
5/7/2021,51338
5/7/2022,14521
5/8/2020,16295
5/8/2021,47817
5/8/2022,12827
5/9/2020,19227
5/9/2021,38540
5/9/2022,7702
6/1/2020,14379
6/1/2021,20262
6/1/2022,13097
6/10/2020,19941
6/10/2021,31423
6/10/2022,9192
6/11/2020,24341
6/11/2021,28949
6/11/2022,11050
6/12/2020,28335
6/12/2021,24099
6/12/2022,6884
6/13/2020,27456
6/13/2021,20731
6/13/2022,5910
6/14/2020,23278
6/14/2021,13588
6/14/2022,8385
6/15/2020,21751
6/15/2021,17162
6/15/2022,10385
6/16/2020,21724
6/16/2021,28076
6/16/2022,12310
6/17/2020,24205
6/17/2021,30454
6/17/2022,10305
6/18/2020,25278
6/18/2021,26643
6/18/2022,8795
6/19/2020,27225
6/19/2021,25368
6/19/2022,6265
6/2/2020,15244
6/2/2021,31768
6/2/2022,10783
6/20/2020,27387
6/20/2021,21063
6/20/2022,6783
6/21/2020,23408
6/21/2021,13828
6/21/2022,7908
6/22/2020,21900
6/22/2021,16784
6/22/2022,10582
6/23/2020,16189
6/23/2021,27364
6/23/2022,10551
6/24/2020,23207
6/24/2021,29514
6/24/2022,9918
6/25/2020,27511
6/25/2021,26561
6/25/2022,9494
6/26/2020,30780
6/26/2021,25626
6/26/2022,7568
6/27/2020,33492
6/27/2021,18524
6/27/2022,5593
6/28/2020,28633
6/28/2021,13071
6/28/2022,7583
6/29/2020,27127
6/29/2021,28306
6/29/2022,11820
6/3/2020,17537
6/3/2021,34277
6/3/2022,10097
6/30/2020,23759
6/30/2021,27258
6/30/2022,9558
6/4/2020,20822
6/4/2021,32258
6/4/2022,9829
6/5/2020,22730
6/5/2021,27819
6/5/2022,6998
6/6/2020,23105
6/6/2021,22635
6/6/2022,6289
6/7/2020,19374
6/7/2021,15177
6/7/2022,8291
6/8/2020,15357
6/8/2021,17579
6/8/2022,11234
6/9/2020,13509
6/9/2021,30462
6/9/2022,9777
7/1/2020,26056
7/1/2021,26929
7/1/2022,8920
7/10/2020,27484
7/10/2021,23695
7/10/2022,7839
7/11/2020,29522
7/11/2021,19651
7/11/2022,6076
7/12/2020,25726
7/12/2021,15933
7/12/2022,11191
7/13/2020,20896
7/13/2021,17489
7/13/2022,14601
7/14/2020,16744
7/14/2021,29085
7/14/2022,11268
7/15/2020,23769
7/15/2021,31329
7/15/2022,11765
7/16/2020,26492
7/16/2021,28126
7/16/2022,12753
7/17/2020,31163
7/17/2021,21392
7/17/2022,10100
7/18/2020,28849
7/18/2021,14805
7/18/2022,6893
7/19/2020,26890
7/19/2021,11567
7/19/2022,9164
7/2/2020,24322
7/2/2021,25161
7/2/2022,6906
7/20/2020,20913
7/20/2021,13586
7/20/2022,14295
7/21/2020,22974
7/21/2021,20750
7/21/2022,14039
7/22/2020,23990
7/22/2021,19599
7/22/2022,13773
7/23/2020,26001
7/23/2021,19757
7/23/2022,13339
7/24/2020,28809
7/24/2021,19131
7/24/2022,10391
7/25/2020,29904
7/25/2021,13902
7/25/2022,6880
7/26/2020,26144
7/26/2021,11930
7/26/2022,9323
7/27/2020,24664
7/27/2021,13644
7/27/2022,13590
7/28/2020,17334
7/28/2021,20527
7/28/2022,12396
7/29/2020,27308
7/29/2021,19425
7/29/2022,12831
7/3/2020,24194
7/3/2021,17080
7/3/2022,6262
7/30/2020,27676
7/30/2021,20993
7/30/2022,10707
7/31/2020,30033
7/31/2021,19112
7/31/2022,9313
7/4/2020,21425
7/4/2021,18989
7/4/2022,5776
7/5/2020,23792
7/5/2021,12949
7/5/2022,10665
7/6/2020,17303
7/6/2021,15806
7/6/2022,9222
7/7/2020,15112
7/7/2021,26976
7/7/2022,12111
7/8/2020,22832
7/8/2021,25857
7/8/2022,10642
7/9/2020,26326
7/9/2021,26101
7/9/2022,8606
8/1/2020,33282
8/1/2021,14122
8/1/2022,6521
8/10/2020,22275
8/10/2021,16479
8/10/2022,13651
8/11/2020,21581
8/11/2021,24772
8/11/2022,11890
8/12/2020,24572
8/12/2021,22896
8/12/2022,11705
8/13/2020,29626
8/13/2021,23586
8/13/2022,10094
8/14/2020,30137
8/14/2021,23468
8/14/2022,8432
8/15/2020,30436
8/15/2021,19192
8/15/2022,5495
8/16/2020,23813
8/16/2021,15784
8/16/2022,7701
8/17/2020,25567
8/17/2021,17408
8/17/2022,12152
8/18/2020,23067
8/18/2021,26307
8/18/2022,10820
8/19/2020,25642
8/19/2021,26213
8/19/2022,10876
8/2/2020,30443
8/2/2021,11658
8/2/2022,6185
